"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles","castType"
"tt0611661","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611661","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611661","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611661","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611661","4","nm0391600","actress","","[""Dr. Laura Hobson""]","Clare Holman","1964","","acting","","guest"
"tt0611661","716","nm1075450","actor","","[""Steven Parnell""]","Gary Powell","1963","","acting","","guest"
"tt0611661","717","nm0189358","actor","","[""Prison Chaplain""]","Steven Crossley","","","acting","","guest"
"tt0611661","718","nm0265457","actor","","[""George Daley""]","Christopher Fairbank","1953","","acting","","guest"
"tt0611661","727","nm0728640","actress","","[""Claire Osborne""]","Vivienne Ritchie","1958","","acting","","guest"
"tt0611661","728","nm0494549","actor","","[""Dr. Alan Hardinge""]","Nicholas Le Prevost","1947","","acting","","guest"
"tt0611661","730","nm0792953","actress","","[""Margaret Daley""]","Maggie Shevlin","","","acting","","guest"
"tt0611661","731","nt1781141","actor","","[""Philip Daley""]","James D. White","","","acting","","guest"
"tt0611661","732","nm0832695","actor","","[""DCI Martin Johnson""]","Malcolm Storry","1948","","acting","","guest"
"tt0611661","739","nm0265610","actress","","[""Cathy Michaels""]","Michelle Fairley","1963","","acting","","guest"
"tt0611661","740","nm0240072","actor","","[""David Michaels""]","Neil Dudgeon","1961","","acting","","guest"
"tt0611661","741","nm0811629","actor","","[""Alisdair McBryde""]","Robin Soans","1947","","acting","","guest"
"tt0611661","742","nm0832329","actress","","[""Lynne Hardinge""]","Kay Stonham","","","acting","","guest"
"tt0611650","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
