"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"tt0214950","1","nm0626719","actor","","[""DCI Tom Barnaby""]","John Nettles","1943","","actor,writer,soundtrack","tt0118401,tt0081831,tt0073981,tt0164260"
"tt0214950","2","nm0143401","actor","","[""Sgt. Gavin Troy""]","Daniel Casey","1972","","actor,soundtrack,archive_footage","tt0118401,tt0423668,tt1834598,tt0115305"
"tt0214950","3","nm0943857","actress","","[""Joyce Barnaby""]","Jane Wymark","1952","","actress,soundtrack,archive_footage","tt0118401,tt0075560,tt0169416,tt0140728"
"tt0214950","4","nm0397452","actress","","[""Cully Barnaby""]","Laura Howard","1977","","actress,soundtrack,archive_footage","tt0118401,tt0103552,tt10466872,tt0116230"
"tt0214950","5","nm0413289","actor","","[""Dr. George Bullard""]","Barry Jackson","1938","2013","actor,stunts,soundtrack","tt0360201,tt0072684,tt0118401,tt0373870"
"tt0214950","6","nm0573618","actor","","[""Orville Tudway""]","Kevin McNally","1956","","actor,writer,director","tt0325980,tt1298650,tt0383574,tt0449088"
"tt0214950","7","nm0244912","actor","","[""Will Saxby""]","John Duttine","1949","","actor,archive_footage","tt0080298,tt0420830,tt0081850,tt0053494"
"tt0214950","8","nm0308789","actress","","[""Muriel Saxby""]","Elizabeth Garvie","1957","","actress,archive_footage","tt0078672,tt0116935,tt0101123,tt0104443"
"tt0214950","9","nm0422234","actor","","[""Hector Bridges""]","Paul Jesson","1946","","actor","tt1372686,tt2473794,tt5886440,tt0383694"
"tt0214950","10","nm0313633","actress","","[""Jenny Bridges""]","Tricia George","1957","","actress,camera_department","tt0193686,tt0078699,tt0202768,tt0083449"
"tt0307058","1","nm0626719","actor","","[""DCI Tom Barnaby""]","John Nettles","1943","","actor,writer,soundtrack","tt0118401,tt0081831,tt0073981,tt0164260"
"tt0307058","2","nm0143401","actor","","[""Sgt. Gavin Troy""]","Daniel Casey","1972","","actor,soundtrack,archive_footage","tt0118401,tt0423668,tt1834598,tt0115305"
"tt0307058","3","nm0943857","actress","","[""Joyce Barnaby""]","Jane Wymark","1952","","actress,soundtrack,archive_footage","tt0118401,tt0075560,tt0169416,tt0140728"
"tt0307058","4","nm0397452","actress","","[""Cully Barnaby""]","Laura Howard","1977","","actress,soundtrack,archive_footage","tt0118401,tt0103552,tt10466872,tt0116230"
