"tconst","parentTconst","primaryTitle","seasonNumber","episodeNumber","startYear","averageRating","numVotes"
"tt0214950","tt0118401","Blood Will Out","2","4","1999","7.4","1248"
"tt0307058","tt0118401","The Killings at Badger's Drift","1","1","1997","8.2","2551"
"tt0339442","tt0362357","The Chinese Job","1","0","2003","8.3","603"
"tt0394783","tt0118401","Birds of Prey","6","5","2003","7.4","955"
"tt0394784","tt0118401","Dark Autumn","4","5","2001","7.5","1125"
"tt0394785","tt0118401","Death in Disguise","1","5","1998","7.2","1389"
"tt0394786","tt0118401","Death of a Stranger","3","1","1999","7.5","1187"
"tt0611633","tt0092379","Absolute Conviction","6","4","1992","7.7","828"
"tt0611634","tt0092379","Cherubim & Seraphim","6","5","1992","7.3","854"
"tt0611635","tt0092379","Dead on Time","6","1","1992","8.3","977"
"tt0611636","tt0092379","Deadly Slumber","7","1","1993","8.5","893"
"tt0611637","tt0092379","Death Is Now My Neighbour","8","3","1997","8.2","850"
"tt0611638","tt0092379","Deceived by Flight","3","3","1989","7.8","922"
"tt0611639","tt0092379","Driven to Distraction","4","3","1990","8.2","961"
"tt0611640","tt0092379","Fat Chance","5","2","1991","7.2","842"
"tt0611641","tt0092379","Ghost in the Machine","3","1","1989","7.9","986"
"tt0611642","tt0092379","Greeks Bearing Gifts","5","4","1991","7.5","776"
"tt0611643","tt0092379","Happy Families","6","2","1992","7.7","888"
"tt0611644","tt0092379","Last Bus to Woodstock","2","4","1988","7.7","984"
"tt0611645","tt0092379","Last Seen Wearing","2","2","1988","7.7","1043"
"tt0611646","tt0092379","Masonic Mysteries","4","4","1990","8.3","1118"
"tt0611647","tt0092379","Promised Land","5","5","1991","8.0","858"
"tt0611648","tt0092379","Second Time Around","5","1","1991","8.4","972"
"tt0611649","tt0092379","Service of All the Dead","1","3","1987","7.0","1138"
"tt0611650","tt0092379","The Daughters of Cain","8","2","1996","7.9","834"
"tt0611651","tt0092379","The Day of the Devil","7","2","1993","7.7","810"
"tt0611652","tt0092379","The Dead of Jericho","1","1","1987","7.5","1386"
"tt0611653","tt0092379","The Death of the Self","6","3","1992","7.9","961"
"tt0611654","tt0092379","The Infernal Serpent","4","1","1990","7.8","979"
"tt0611655","tt0092379","The Last Enemy","3","2","1989","7.5","885"
"tt0611656","tt0092379","The Remorseful Day","8","5","2000","8.8","1054"
"tt0611657","tt0092379","The Secret of Bay 5B","3","4","1989","7.4","822"
"tt0611658","tt0092379","The Settling of the Sun","2","3","1988","6.6","1032"
"tt0611659","tt0092379","The Silent World of Nicholas Quinn","1","2","1987","7.6","1163"
"tt0611660","tt0092379","The Sins of the Fathers","4","2","1990","7.7","878"
"tt0611661","tt0092379","The Way Through the Woods","8","1","1995","8.3","919"
"tt0611662","tt0092379","The Wench Is Dead","8","4","1998","8.1","879"
"tt0611663","tt0092379","The Wolvercote Tongue","2","1","1987","7.5","1051"
"tt0611664","tt0092379","Twilight of the Gods","7","3","1993","7.6","819"
"tt0611665","tt0092379","Who Killed Harry Field?","5","3","1991","7.6","848"
"tt0647469","tt0118401","A Tale of Two Hamlets","6","4","2003","7.3","1015"
"tt0647470","tt0118401","A Talent for Life","6","1","2003","7.6","1082"
"tt0647471","tt0118401","A Worm in the Bud","5","2","2002","7.4","1032"
"tt0647472","tt0118401","Bad Tidings","7","2","2004","7.5","991"
"tt0647473","tt0118401","Bantling Boy","8","4","2005","7.4","902"
"tt0647474","tt0118401","Beyond the Grave","3","4","2000","7.5","1152"
"tt0647477","tt0118401","Blue Herrings","3","2","2000","7.5","1229"
"tt0647479","tt0118401","Dead Letters","9","2","2006","7.6","996"
"tt0647480","tt0118401","Dead Man's Eleven","2","3","1999","7.9","1386"
"tt0647481","tt0118401","Dead in the Water","8","2","2004","7.5","973"
"tt0647482","tt0118401","Death and Dreams","6","2","2003","7.7","1184"
"tt0647484","tt0118401","Death of a Hollow Man","1","3","1998","7.3","1592"
"tt0647486","tt0118401","Death's Shadow","2","1","1999","8.2","1560"
"tt0647487","tt0118401","Destroying Angel","4","2","2001","7.9","1254"
"tt0647488","tt0118401","Down Among the Dead Men","9","4","2006","7.8","966"
"tt0647489","tt0118401","Faithful unto Death","1","4","1998","7.5","1442"
"tt0647490","tt0118401","Garden of Death","4","1","2000","7.6","1254"
"tt0647491","tt0118401","Ghosts of Christmas Past","7","7","2004","8.3","1280"
"tt0647492","tt0118401","Hidden Depths","8","6","2005","8.1","1067"
