"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0092379","tvSeries","Inspector Morse","Inspector Morse","0","1987","2000","90","Crime,Drama,Mystery"
"tt0118401","tvSeries","Midsomer Murders","Midsomer Murders","0","1997","","90","Crime,Drama,Mystery"
"tt0362357","tvSeries","New Tricks","New Tricks","0","2003","2015","60","Crime,Drama"
"tt0820430","tvSeries","Ludwig","Ludwig","0","1977","","","Animation,Family"
"tt10720914","tvSeries","McDonald & Dodds","McDonald & Dodds","0","2020","2024","90","Comedy,Crime,Mystery"
"tt11981644","tvSeries","Professor T","Professor T","0","2021","","46","Crime,Drama,Mystery"
"tt15499118","tvSeries","The Madame Blanc Mysteries","The Madame Blanc Mysteries","0","2021","","60","Crime,Drama,Mystery"
"tt1888075","tvSeries","Death in Paradise","Death in Paradise","0","2011","","60","Crime,Drama,Mystery"
"tt1988386","tvSeries","Miss Fisher's Murder Mysteries","Miss Fisher's Murder Mysteries","0","2012","2015","60","Crime,Drama,History"
"tt2215842","tvSeries","Father Brown","Father Brown","0","2013","","52","Crime,Drama,Mystery"
"tt2396135","tvSeries","Shetland","Shetland","0","2013","","60","Crime,Drama,Mystery"
"tt2701582","tvSeries","Endeavour","Endeavour","0","2012","2023","90","Crime,Drama,Mystery"
"tt27846061","tvSeries","Ludwig","Ludwig","0","2024","","","Comedy,Crime,Drama"
"tt7526498","tvSeries","Shakespeare & Hathaway: Private Investigators","Shakespeare & Hathaway: Private Investigators","0","2018","2022","45","Comedy,Crime,Drama"
