tconst,parentTconst,primaryTitle,seasonNumber,episodeNumber,startYear,averageRating,numVotes
tt0214950,tt0118401,Blood Will Out,2,4,1999,7.4,1224
tt0307058,tt0118401,The Killings at Badger's Drift,1,1,1997,8.1,2515
tt0339442,tt0362357,The Chinese Job,1,0,2003,8.2,598
tt0394783,tt0118401,Birds of Prey,6,5,2003,7.5,935
tt0394784,tt0118401,Dark Autumn,4,5,2001,7.5,1099
tt0394785,tt0118401,Death in Disguise,1,5,1998,7.2,1360
tt0394786,tt0118401,Death of a Stranger,3,1,1999,7.5,1162
tt0578344,tt0069582,The Curse of the Golden Cross,1,3,1974,7.7,103
tt0578345,tt0069582,The Eye of Apollo,1,4,1974,7.5,100
tt0578346,tt0069582,The Hammer of God,1,1,1974,7.1,153
tt0578347,tt0069582,The Man with Two Beards,1,10,1974,7.4,74
tt0578348,tt0069582,The Oracle of the Dog,1,2,1974,7.4,121
tt0578349,tt0069582,The Three Tools of Death,1,5,1974,7.3,87
tt0611633,tt0092379,Absolute Conviction,6,4,1992,7.7,822
tt0611634,tt0092379,Cherubim & Seraphim,6,5,1992,7.3,847
tt0611635,tt0092379,Dead on Time,6,1,1992,8.3,970
tt0611636,tt0092379,Deadly Slumber,7,1,1993,8.5,888
tt0611637,tt0092379,Death Is Now My Neighbour,8,3,1997,8.2,841
tt0611638,tt0092379,Deceived by Flight,3,3,1989,7.8,913
tt0611639,tt0092379,Driven to Distraction,4,3,1990,8.2,947
tt0611640,tt0092379,Fat Chance,5,2,1991,7.2,831
tt0611641,tt0092379,Ghost in the Machine,3,1,1989,7.9,975
tt0611642,tt0092379,Greeks Bearing Gifts,5,4,1991,7.5,768
tt0611643,tt0092379,Happy Families,6,2,1992,7.7,877
tt0611644,tt0092379,Last Bus to Woodstock,2,4,1988,7.7,974
tt0611645,tt0092379,Last Seen Wearing,2,2,1988,7.7,1026
tt0611646,tt0092379,Masonic Mysteries,4,4,1990,8.3,1104
tt0611647,tt0092379,Promised Land,5,5,1991,8.0,852
tt0611648,tt0092379,Second Time Around,5,1,1991,8.4,961
tt0611649,tt0092379,Service of All the Dead,1,3,1987,7.0,1124
tt0611650,tt0092379,The Daughters of Cain,8,2,1996,7.9,825
tt0611651,tt0092379,The Day of the Devil,7,2,1993,7.7,801
tt0611652,tt0092379,The Dead of Jericho,1,1,1987,7.5,1373
tt0611653,tt0092379,The Death of the Self,6,3,1992,7.9,952
tt0611654,tt0092379,The Infernal Serpent,4,1,1990,7.8,968
tt0611655,tt0092379,The Last Enemy,3,2,1989,7.5,875
tt0611656,tt0092379,The Remorseful Day,8,5,2000,8.7,1041
tt0611657,tt0092379,The Secret of Bay 5B,3,4,1989,7.4,815
tt0611658,tt0092379,The Settling of the Sun,2,3,1988,6.6,1015
tt0611659,tt0092379,The Silent World of Nicholas Quinn,1,2,1987,7.6,1150
tt0611660,tt0092379,The Sins of the Fathers,4,2,1990,7.7,865
tt0611661,tt0092379,The Way Through the Woods,8,1,1995,8.3,910
tt0611662,tt0092379,The Wench Is Dead,8,4,1998,8.1,878
tt0611663,tt0092379,The Wolvercote Tongue,2,1,1987,7.5,1036
tt0611664,tt0092379,Twilight of the Gods,7,3,1993,7.6,812
tt0611665,tt0092379,Who Killed Harry Field?,5,3,1991,7.6,838
tt0647469,tt0118401,A Tale of Two Hamlets,6,4,2003,7.3,991
tt0647470,tt0118401,A Talent for Life,6,1,2003,7.6,1056
tt0647471,tt0118401,A Worm in the Bud,5,2,2002,7.4,1011
tt0647472,tt0118401,Bad Tidings,7,2,2004,7.5,968
tt0647473,tt0118401,Bantling Boy,8,4,2005,7.4,882
tt0647474,tt0118401,Beyond the Grave,3,4,2000,7.5,1135
tt0647477,tt0118401,Blue Herrings,3,2,2000,7.5,1201
tt0647479,tt0118401,Dead Letters,9,2,2006,7.6,975
tt0647480,tt0118401,Dead Man's Eleven,2,3,1999,7.9,1356
tt0647481,tt0118401,Dead in the Water,8,2,2004,7.5,951
tt0647482,tt0118401,Death and Dreams,6,2,2003,7.7,1163
